stock_code,trade_date,close_price,prev_close,prev_date,pct_chg,gap_days,adjust_factor,coverage_ratio
3629.TWO,2018-04-03,33.7,22.1,2018-03-26,0.524887,8,1.5248868778280544,0.7442863303147909
3632.TWO,2020-10-19,11.2,8.5,2020-10-06,0.317647,13,1.3176470588235294,0.9698145752479516
3686.TW,2019-11-25,5.09,1.67,2019-11-13,2.047904,12,3.0479041916167664,0.9935316946959896
3686.TW,2022-10-11,13.35,10.0,2022-09-28,0.335,13,1.335,0.9935316946959896
4154.TWO,2024-09-02,23.1,14.5,2024-08-22,0.593103,11,1.593103448275862,0.936179387667098
4198.TWO,2018-08-27,17.25,5.61,2018-08-15,2.074866,12,3.074866310160428,0.9370418283742992
4304.TWO,2018-09-07,7.0,5.13,2018-08-29,0.364522,9,1.364522417153996,0.9064251832686504
4414.TW,2021-12-01,7.37,11.1,2021-04-29,-0.336036,216,0.663963963963964,0.8115567054764985
4414.TW,2023-06-26,3.21,5.12,2022-04-29,-0.373047,423,0.626953125,0.8115567054764985
4414.TW,2025-07-14,11.25,3.17,2025-07-02,2.548896,12,3.548895899053628,0.8115567054764985
4419.TWO,2023-03-01,12.35,9.0,2023-02-15,0.372222,14,1.3722222222222222,0.6295817162570073
4804.TWO,2022-07-01,11.05,22.5,2022-04-29,-0.508889,63,0.4911111111111111,0.8305304010349288
4806.TWO,2025-10-07,15.5,7.54,2025-09-24,1.055703,13,2.055702917771883,0.8654592496765847
4903.TWO,2022-12-30,14.05,10.0,2022-12-21,0.405,9,1.405,0.9974126778783958
4930.TW,2022-03-28,38.5,27.7,2022-03-16,0.389892,12,1.3898916967509023,0.9965502371711944
4934.TW,2020-01-20,12.8,6.55,2020-01-08,0.954198,12,1.954198473282443,0.9969814575247952
4943.TW,2023-04-24,16.75,10.3,2023-04-12,0.626214,12,1.6262135922330097,0.9931004743423888
4946.TWO,2020-09-30,19.8,11.0,2020-09-22,0.8,8,1.8,0.98749460974558
4946.TWO,2024-09-30,46.4,33.8,2024-09-18,0.372781,12,1.3727810650887575,0.98749460974558
4950.TWO,2021-12-01,19.1,29.0,2021-04-29,-0.341379,216,0.6586206896551725,0.6778783958602846
